10.1.1.103.1693	2006	Semi-Supervised Learning Literature Survey
R1	10.1.1.64.8205	Word sense disambiguation with semisupervised learning
R1	10.1.1.5.9217	A Method for Inferring Label Sampling Mechanisms In Semi-Supervised Learning
R1	10.1.1.87.2833	Estimating and computing density based distance metrics
R1	10.1.1.113.8836	Deterministic annealing for semi-supervised kernel machines
R1	10.1.1.136.9465	Large Scale Semi-supervised Linear SVMs
R1	10.1.1.118.7181	A co-regularized approach to semi-supervised learning with multiple views
R1	10.1.1.127.9587	Linear manifold regularization for large scale semi-supervised learning
R1	10.1.1.131.1603	Face recognition by humans: 20 results all computer vision researchers should know about. (under review
R1	10.1.1.32.3153	Deriving Cluster Analytic Distance Functions From Gaussian Mixture Models
R1	10.1.1.71.8643	Large-scale sparsified manifold regularization
R1	10.1.1.219.3482	Nonlinear dimensionality reduction by semidefinite programming and kernel matrix factorization
R1	10.1.1.184.317	Inference with the universum
R1	10.1.1.323.9759	Unsupervised and semi-supervised multi-class support vector machines
R1	10.1.1.64.1933	Blockwise supervised inference on large graphs
R1	10.1.1.72.4127	Learning with hypergraphs: Clustering, classification, and embedding
R1	10.1.1.165.7600	Learning from labeled and unlabeled data on a directed graph
R1	10.1.1.2.2630	Exploiting Unlabeled Data in Content-Based Image Retrieval
R1	10.1.1.115.7957	Semi-supervised regression with co-training style algorithms
R1	10.1.1.61.1467	Nonparametric Transforms of Graph Kernels for Semi-Supervised Learning
