10.1.1.108.8502	2007	Outlier Detection: A Survey
R1	10.1.1.33.878	Call-based Fraud Detection in Mobile Communication Networks using a Hierarchical Regime-Switching Model
R1	10.1.1.12.3366	Outlier Detection Using Replicator Neural Networks
R1	10.1.1.101.9899	Spatial weighted outlier detection
R1	10.1.1.215.3893	A comparative study of anomaly detection schemes in network intrusion detection
R1	10.1.1.66.299	A novel anomaly detection scheme based on principal component classifier
R1	10.1.1.102.4480	Mining distance-based outliers from large databases in any metric space
R1	10.1.1.195.1161	Using Kohonen’s selforganizing feature map to uncover automobile bodily injury claims fraud
R1	10.1.1.66.8341	A statistical method for profiling network traffic
R1	10.1.1.131.1506	Minority Report in Fraud Detection: Classification of Skewed Data
R1	10.1.1.104.4142	Detection and classification of intrusions and faults using sequences of system calls
R1	10.1.1.33.2216	Intrusion Detection Applying Machine Learning to Solaris Audit Data
R1	10.1.1.110.1220	An Application of Machine Learning to Anomaly Detection
R1	10.1.1.15.7178	Using Artificial Anomalies to Detect Unknown and Known Network Intrusions
R1	10.1.1.296.9837	Outlier detection using k-nearest neighbour graph
R1	10.1.1.12.5111	ADMIT: Anomaly-based Data Mining for Intrusions
R1	10.1.1.74.2063	Hot sax: Efficiently finding the most unusual time series subsequence
R1	10.1.1.107.2071	Resampling approach for anomaly detection in multispectral images
R1	10.1.1.177.5125	A maximum entropy approach to collaborative filtering in dynamic, sparse, high-dimensional domains
R1	10.1.1.125.8146	Towards nic-based intrusion detection
R1	10.1.1.28.2263	Outlier Detection using Classifier Instability.
R1	10.1.1.215.4854	On abnormality detection in spuriously populated data streams
R1	10.1.1.53.7441	The Grand Tour as a Method for Detecting Multivariate Outliers
R1	10.1.1.24.5743	Unsupervised Profiling Methods for Fraud Detection
R1	10.1.1.115.1192	Wat: Finding top-k discords in time series database
R1	10.1.1.69.3285	Modeling Multiple Time Series for Anomaly Detection
R1	10.1.1.11.2787	Very Fast Outlier Detection in Large Multidimensional Data Sets
R1	10.1.1.68.4476	Detecting anomalous records in categorical datasets
R1	10.1.1.2.4153	Residual Generation and Visualization for Understanding Novel Process Conditions
R1	10.1.1.147.2184	Finding time series discords based on haar transform
R1	10.1.1.79.1443	An approach to spacecraft anomaly detection problem using kernel feature space
R1	10.1.1.132.9801	Loaded: Link-based outlier and anomaly detection in evolving data sets
R1	10.1.1.88.6380	Detection of significant sets of episodes in event sequences
R1	10.1.1.42.1868	The Error-Reject Tradeoff
R1	10.1.1.34.8726	Novelty Detection in Airframe Strain Data
R1	10.1.1.2.6527	Robust Anomaly Detection Using Support Vector Machines
R1	10.1.1.87.1692	Eigenspace-based Anomaly Detection in Computer Systems
R1	10.1.1.137.1980	Finding the most unusual time series subsequence: algorithms and applications
R1	10.1.1.135.9256	NSOM: A Real-Time Network-Based Intrusion Detection System Using Self-Organizing Maps
R1	10.1.1.36.7407	Informal Identification of Outliers in Medical Data
